id,user_id
7313034367,1b99613c
7314440130,281c9408
7313306215,d717e963
7304836121,010ac296
7314113980,4f044581
7316496274,2b902d20
7314764390,4ce15031
7309564432,92ddf484
7312618487,1261d632
7301702975,3d64b861
7313409605,d791949a
7315478250,a94e60db
7316915602,345a78ba
7311000548,5b82703b
7311106324,9db6cdf5
7316906910,0dfee3ce
7312705426,cc6c0497
7307639716,c8e95435
7314726176,38fcf72b
7316031897,fc60b11f
7313630483,6a0a213b
7315467388,6f0ae1c0
7316696258,112e377a
7314959064,eb45ba7f
7313857559,7bb62127
7308028123,fd4cfcb0
7304346397,b67e4162
7316886486,101b6748
7314378310,fca7e574
7312252475,8d42cf89
7312152978,9040e707
7307384396,25e740e3
7310961731,a052c024
7312437991,851d5cfe
7315129415,f5e61e09
7315338948,19a1e497
7315985005,3da17457
7311787401,17bca615
7304777784,15b50612
7311036126,090f4025
7316939104,d68fca00
7308323576,79cd96a0
7303180509,90cc20a1
7307711592,1967b99a
7315305370,efc9be48
7316453176,57f1682f
7314804245,91fb4e19
7314471042,afbe247d
7311404183,d7842eee
7305802712,a8c17003
7315217933,717a016e
7313276228,259d26db
7312753929,471f3e26
7307353202,5abf4fec
7316693391,30b7d164
7308665069,eed73c4f
7315282846,757b284f
7303895030,ed0b6264
7311029270,e8c2d0ed
7311580322,41162572
7303150963,a109f207
7315541277,3d91128f
7316627529,684048a6
7302711848,3ed2f087
7309372233,6544fece
7311729371,c093edc7
7305812017,bc6e0b29
7315351652,e5c17f8f
7309865577,25f9c11b
7316671415,2997b647
7312957138,867ec3b0
7311338179,9910a69a
7312541620,e5431ebc
7304153761,1722cf50
7312945267,c4c37c92
7310919610,d0bdd84c
7314368617,512ece6f
7307035578,34e5617f
7309852938,98172b4a
7313780360,b6224b51
7315130310,398d9a34
7302220828,7d2e7794
7317000813,51294fbb
7310340475,419f4a5e
7309171861,1d5cff07
7315412275,9c223c9c
7302036960,c2da4497
7311712048,d59c0aaf
7314051945,9ac29b34
7307287221,3621b4af
7315260935,d62ecbd8
7313818002,1d404b27
7308911876,adc0cae5
7311024712,0d3f9fbb
7314284540,a77c3e3b
7311829559,dc823fb0
7315401480,7c7c4d27
7306655541,c057e2ab
7315416974,843ee81c
7309046494,4dad4edd
7315488531,a808ed0b
7304467140,d1070f5e
7316069265,4cc8912c
7302744815,2f8e029c
7306720477,519606a6
7313392601,ec9c70f1
7309515753,6c8eca9a
