listing_id,manufacturer,model,region,image_url,description,condition,state_id,posting_date,mileage,status,price,owner_id,rent_time
7310842213,bmw,x3 xdrive30i sport utility,raleigh / durham / CH,https://images.craigslist.org/00o0o_70u670pbXwrz_0gw0co_600x450.jpg,Practice of you how argue nature sing. Staff under white dog color machine continue.,good,nc,2023-08-20 18:45:44,66319,inactive,15.730219101563588,2d2a66b0,27
7308268142,jeep,wrangler unlimited willys,savannah / hinesville,https://images.craigslist.org/00d0d_lQWs0jxSyooz_0gw0co_600x450.jpg,"Her generation effect two home. Way should voice book stuff. List create moment staff mouth do company.
Say her television send southern. Opportunity base light only believe trouble mention require.",good,ga,2024-05-24 12:59:44,109615,inactive,40.37440823307595,b00d4bc2,22
7316671476,chevrolet,silverado 1500 crew,chattanooga,https://images.craigslist.org/01212_jjirIWa0y02z_0gw0co_600x450.jpg,After some work material industry idea season. Staff phone lay of when rise natural where. Every investment kitchen clearly become fill. Garden guess conference rest.,good,tn,2023-10-05 02:45:06,136008,inactive,50.27917337657268,b1f64ad0,21
7312960878,mercury,milan premier,wausau,https://images.craigslist.org/00V0V_fBjNmz6eAaJz_0aw07O_600x450.jpg,"It realize plan meeting leg.
Ability customer him mouth serious sister step. Hospital inside run bad green subject.
Far indicate pass carry. Result discover not peace.",good,wi,2023-11-18 05:51:49,39262,inactive,59.94374117320757,e9a297d7,10
7313394387,gmc,sierra 1500 extended cab slt,ft myers / SW florida,https://images.craigslist.org/00404_kyhHnNhxLmz_0gw0co_600x450.jpg,Answer size husband least forget. Because together store painting structure. Loss office kind anyone these executive show.,good,fl,2024-04-22 19:28:59,20636,active,23.960842503426075,e9a297d7,30
7314618037,chevrolet,silverado 2500hd,omaha / council bluffs,https://images.craigslist.org/00G0G_LtoktvJ5vez_0gw0co_600x450.jpg,"Water five law. Like cultural laugh member. Civil father ball and particularly lawyer.
Personal off around catch. Much way rest single exactly every. Reduce language manager north far face.",good,ia,2023-11-14 18:45:23,114191,inactive,25.038366494283142,b78c5eed,23
7315807724,mercedes-benz,benz c350e,san diego,https://images.craigslist.org/00Q0Q_l0rMAT8VuEgz_0CI0t2_600x450.jpg,"Under serious hotel state my scientist. Decade rest partner ready.
Budget appear despite talk open race half interest. Big know while year night house. Society could west sit throw.",excellent,ca,2023-12-04 18:52:53,175294,inactive,42.74532004237858,96a93939,16
7316764465,volkswagen,tiguan se,missoula,https://images.craigslist.org/00D0D_jwdKD9QnGYBz_0gw0co_600x450.jpg,Executive foot quickly system me return. Hit arrive individual kid.,good,mt,2024-01-08 11:19:59,58533,inactive,20.294453196791153,2d2a66b0,24
7311550702,jeep,wrangler,ventura county,https://images.craigslist.org/01515_bXHzE3XHWNgz_0xS0po_600x450.jpg,"Offer they good loss. All girl social necessary hundred exist expert.
Take probably light enjoy once these. Community road major property behavior if for.",excellent,ca,2023-09-09 15:13:22,29469,active,51.406886364478936,e9a297d7,26
7316951646,subaru,legacy awd 4dr. sedan,youngstown,https://images.craigslist.org/00202_2MfZlrVxlIaz_0kE0fu_600x450.jpg,Wait student become manager interest. Choice suffer security analysis. Letter listen choice quality.,excellent,oh,2023-08-13 21:49:28,99449,active,47.44013729111011,82c4c3bf,19
7313340076,nissan,leaf sl,philadelphia,https://images.craigslist.org/00k0k_61qJaTTTZBSz_0CI0t2_600x450.jpg,On good five leg drive. Enjoy would skin popular final station. First style drug you fight. Us career debate special table thus letter.,excellent,pa,2023-08-17 18:30:09,121764,inactive,27.211482735253316,8ca4cbeb,10
7308050880,infiniti,qx50 journey,fort collins / north CO,https://images.craigslist.org/00606_fHCyGbLGadJz_0ak07K_600x450.jpg,"Race maintain activity own door article citizen commercial.
Nice establish entire plant reality anyone argue. Play trial lead simple investment wear.",good,co,2024-03-15 00:10:42,104744,inactive,9.797175911428177,82c4c3bf,30
7313086119,toyota,corolla le,san antonio,https://images.craigslist.org/00X0X_j8httQlIX5fz_0CI0pO_600x450.jpg,Third cut maybe fall mind serious sea. Low eye hear similar else others the. Well century success civil treatment expect yourself.,like new,tx,2023-10-10 04:54:57,75082,active,29.887268271973525,b1f64ad0,26
7303734519,toyota,camry,norfolk / hampton roads,https://images.craigslist.org/00g0g_eUgxzHwbzd0z_0ak07K_600x450.jpg,"Rate whether behavior development surface. Treat oil apply eat either.
We eight finally. Want church skill.",excellent,va,2024-05-17 11:27:28,67649,inactive,43.17121169278696,82c4c3bf,12
7308683920,ford,f-150,sarasota-bradenton,https://images.craigslist.org/00G0G_kHEyR4sGbdNz_0gw0co_600x450.jpg,"Specific teacher quality president key like. Watch big should marriage. Finish money music their.
Home site policy early what game near. Around full rise science hope.",good,fl,2024-06-11 12:54:06,109504,inactive,9.457233069255746,96a93939,23
7303295709,ford,expedition,pueblo,https://images.craigslist.org/00e0e_cevFOSDHzx8z_09P07m_600x450.jpg,Argue than a major accept let it. Central research involve page either.,excellent,co,2024-03-19 04:39:36,84771,inactive,55.49106434011105,2d2a66b0,15
7313273600,chevrolet,international 4300,boston,https://images.craigslist.org/00u0u_lq9uHG6qIA1z_0CI0t2_600x450.jpg,Through issue its beyond tough. Quite organization top. Interesting read long join person now another. Statement by watch list do.,excellent,ma,2024-03-25 08:42:46,143569,inactive,21.12669747737001,e9a297d7,23
7314936270,chevrolet,cavalier,scranton / wilkes-barre,https://images.craigslist.org/00M0M_dpY92BRgWUaz_0jm0ew_600x450.jpg,"Top than today bank economic lose. Party indicate similar moment show old scene.
Color policy fund war production. Reduce cup their increase help.",excellent,pa,2023-08-08 19:32:47,167827,inactive,18.729007687926924,1f9f9c10,17
7311883855,chevrolet,corvette coupe 2d,lehigh valley,https://images.craigslist.org/01414_8SIP72Awg9qz_0gw0co_600x450.jpg,"Term history move mind cost sign especially. Arm land land kind recently lot. Policy tax others anything write system scientist yet.
Simple or line likely unit yeah. Health guy draw sure.",good,pa,2024-03-03 04:53:36,68995,inactive,7.370012068231367,e9a297d7,15
7303236346,gmc,sierra 1500 double cab slt,lehigh valley,https://images.craigslist.org/00o0o_bdqhJoRW4xgz_0gw0co_600x450.jpg,"Top third claim appear. Quickly just firm what sort such able responsibility.
Sort job adult rather arrive partner identify. Other make offer business page nearly.",good,pa,2023-10-03 11:53:55,106054,inactive,57.94902294819425,8ca4cbeb,15
